row_id,order_id,product_id,sales,postal_code
1,CA-2017-152156,FUR-BO-10001798,261.96,42420.0
2,CA-2017-152156,FUR-CH-10000454,731.94,42420.0
3,CA-2017-138688,OFF-LA-10000240,14.62,90036.0
4,US-2016-108966,FUR-TA-10000577,957.5775,33311.0
5,US-2016-108966,OFF-ST-10000760,22.368,33311.0
6,CA-2015-115812,FUR-FU-10001487,48.86,90032.0
7,CA-2015-115812,OFF-AR-10002833,7.28,90032.0
8,CA-2015-115812,TEC-PH-10002275,907.152,90032.0
9,CA-2015-115812,OFF-BI-10003910,18.504,90032.0
10,CA-2015-115812,OFF-AP-10002892,114.9,90032.0
11,CA-2015-115812,FUR-TA-10001539,1706.184,90032.0
12,CA-2015-115812,TEC-PH-10002033,911.424,90032.0
13,CA-2018-114412,OFF-PA-10002365,15.552,28027.0
14,CA-2017-161389,OFF-BI-10003656,407.976,98103.0
15,US-2016-118983,OFF-AP-10002311,68.81,76106.0
16,US-2016-118983,OFF-BI-10000756,2.544,76106.0
17,CA-2015-105893,OFF-ST-10004186,665.88,53711.0
18,CA-2015-167164,OFF-ST-10000107,55.5,84084.0
19,CA-2015-143336,OFF-AR-10003056,8.56,94109.0
20,CA-2015-143336,TEC-PH-10001949,213.48,94109.0
21,CA-2015-143336,OFF-BI-10002215,22.72,94109.0
22,CA-2017-137330,OFF-AR-10000246,19.46,68025.0
23,CA-2017-137330,OFF-AP-10001492,60.34,68025.0
24,US-2018-156909,FUR-CH-10002774,71.372,19140.0
25,CA-2016-106320,FUR-TA-10000577,1044.63,84057.0
26,CA-2017-121755,OFF-BI-10001634,11.648,90049.0
27,CA-2017-121755,TEC-AC-10003027,90.57,90049.0
28,US-2016-150630,FUR-BO-10004834,3083.43,19140.0
29,US-2016-150630,OFF-BI-10000474,9.618,19140.0
30,US-2016-150630,FUR-FU-10004848,124.2,19140.0
31,US-2016-150630,OFF-EN-10001509,3.264,19140.0
32,US-2016-150630,OFF-AR-10004042,86.304,19140.0
33,US-2016-150630,OFF-BI-10001525,6.858,19140.0
34,US-2016-150630,OFF-AR-10001683,15.76,19140.0
35,CA-2018-107727,OFF-PA-10000249,29.472,77095.0
36,CA-2017-117590,TEC-PH-10004977,1097.544,75080.0
37,CA-2017-117590,FUR-FU-10003664,190.92,75080.0
38,CA-2016-117415,OFF-EN-10002986,113.328,77041.0
39,CA-2016-117415,FUR-BO-10002545,532.3992,77041.0
40,CA-2016-117415,FUR-CH-10004218,212.058,77041.0
41,CA-2016-117415,TEC-PH-10000486,371.168,77041.0
42,CA-2018-120999,TEC-PH-10004093,147.168,60540.0
43,CA-2017-101343,OFF-ST-10003479,77.88,90049.0
44,CA-2018-139619,OFF-ST-10003282,95.616,32935.0
45,CA-2017-118255,TEC-AC-10000171,45.98,55122.0
46,CA-2017-118255,OFF-BI-10003291,17.46,55122.0
47,CA-2015-146703,OFF-ST-10001713,211.96,48185.0
48,CA-2017-169194,TEC-AC-10002167,45.0,19901.0
49,CA-2017-169194,TEC-PH-10003988,21.8,19901.0
50,CA-2016-115742,OFF-BI-10004410,38.22,47150.0
51,CA-2016-115742,OFF-LA-10002762,75.18,47150.0
52,CA-2016-115742,FUR-FU-10001706,6.16,47150.0
53,CA-2016-115742,FUR-CH-10003061,89.99,47150.0
54,CA-2017-105816,OFF-FA-10000304,15.26,10024.0
55,CA-2017-105816,TEC-PH-10002447,1029.95,10024.0
56,CA-2017-111682,OFF-ST-10000604,208.56,12180.0
57,CA-2017-111682,OFF-PA-10001569,32.4,12180.0
58,CA-2017-111682,FUR-CH-10003968,319.41,12180.0
59,CA-2017-111682,OFF-PA-10000587,14.56,12180.0
60,CA-2017-111682,TEC-AC-10002167,30.0,12180.0
61,CA-2017-111682,OFF-BI-10001460,48.48,12180.0
62,CA-2017-111682,OFF-AR-10001868,1.68,12180.0
63,CA-2016-135545,TEC-AC-10004633,13.98,90004.0
64,CA-2016-135545,OFF-BI-10001078,25.824,90004.0
65,CA-2016-135545,OFF-PA-10003892,146.73,90004.0
66,CA-2016-135545,FUR-FU-10000397,79.76,90004.0
67,US-2016-164175,FUR-CH-10001146,213.115,60610.0
68,CA-2015-106376,OFF-AR-10002671,1113.024,85234.0
69,CA-2015-106376,TEC-PH-10002726,167.968,85234.0
70,CA-2017-119823,OFF-PA-10000482,75.88,22153.0
71,CA-2017-106075,OFF-BI-10004654,4.616,10009.0
72,CA-2018-114440,OFF-PA-10004675,19.05,49201.0
73,US-2016-134026,FUR-CH-10000513,831.936,38109.0
74,US-2016-134026,FUR-FU-10003708,97.04,38109.0
75,US-2016-134026,OFF-ST-10004123,72.784,38109.0
76,US-2018-118038,OFF-BI-10004182,1.248,77041.0
77,US-2018-118038,FUR-FU-10000260,9.708,77041.0
78,US-2018-118038,OFF-ST-10000615,27.24,77041.0
79,US-2015-147606,FUR-FU-10003194,19.3,77070.0
80,CA-2017-127208,OFF-AP-10002118,208.16,35601.0
81,CA-2017-127208,OFF-BI-10002309,16.74,35601.0
82,CA-2015-139451,OFF-AR-10002053,14.9,94122.0
83,CA-2015-139451,OFF-ST-10002370,21.39,94122.0
84,CA-2016-149734,OFF-EN-10000927,200.984,27707.0
85,US-2018-119662,OFF-ST-10003656,230.376,60623.0
86,CA-2018-140088,FUR-CH-10000863,301.96,29203.0
87,CA-2018-155558,TEC-AC-10001998,19.99,55901.0
88,CA-2018-155558,OFF-LA-10000134,6.16,55901.0
89,CA-2017-159695,OFF-ST-10003442,158.368,77095.0
90,CA-2017-109806,OFF-AR-10004930,20.1,90036.0
91,CA-2017-109806,TEC-PH-10004093,73.584,90036.0
92,CA-2017-109806,OFF-PA-10000304,6.48,90036.0
93,CA-2016-149587,OFF-PA-10003177,12.96,55407.0
94,CA-2016-149587,FUR-FU-10003799,53.34,55407.0
95,CA-2016-149587,OFF-BI-10002852,32.96,55407.0
96,US-2018-109484,OFF-BI-10004738,5.682,97206.0
97,CA-2018-161018,FUR-FU-10000629,96.53,10009.0
98,CA-2018-157833,OFF-BI-10001721,51.312,94122.0
99,CA-2017-149223,OFF-AP-10000358,77.88,55106.0
100,CA-2017-158568,OFF-PA-10003256,64.624,60610.0
101,CA-2017-158568,TEC-AC-10001767,95.976,60610.0
102,CA-2017-158568,OFF-BI-10002609,1.788,60610.0
103,CA-2017-129903,OFF-PA-10004040,23.92,55901.0
104,US-2016-156867,TEC-AC-10001552,238.896,80013.0
105,US-2016-156867,FUR-FU-10004006,102.36,80013.0
106,US-2016-156867,OFF-BI-10002794,36.882,80013.0
107,CA-2018-119004,TEC-AC-10003499,74.112,28205.0
108,CA-2018-119004,TEC-PH-10002844,27.992,28205.0
109,CA-2018-119004,OFF-AR-10000390,3.304,28205.0
110,CA-2016-129476,TEC-AC-10000844,339.96,60462.0
111,CA-2018-146780,FUR-FU-10001934,41.96,10035.0
112,CA-2017-128867,OFF-AR-10000380,75.96,50322.0
113,CA-2017-128867,OFF-BI-10003981,27.24,50322.0
114,CA-2015-115259,OFF-FA-10000621,40.096,43229.0
115,CA-2015-115259,OFF-EN-10002600,4.72,43229.0
116,CA-2015-115259,OFF-PA-10004965,23.976,43229.0
117,CA-2015-115259,OFF-EN-10002504,130.464,43229.0
118,CA-2016-110457,FUR-TA-10001768,787.53,98103.0
119,US-2016-136476,OFF-BI-10003650,157.794,37620.0
120,CA-2017-103730,FUR-FU-10002157,47.04,19805.0
121,CA-2017-103730,OFF-BI-10003910,30.84,19805.0
122,CA-2017-103730,OFF-ST-10000777,226.56,19805.0
123,CA-2017-103730,OFF-EN-10002500,115.02,19805.0
124,CA-2017-103730,TEC-PH-10003875,68.04,19805.0
125,US-2015-152030,FUR-CH-10004063,600.558,77041.0
126,US-2015-134614,FUR-TA-10004534,617.7,61701.0
127,US-2018-107272,OFF-BI-10003274,2.388,85023.0
128,US-2018-107272,OFF-ST-10002974,243.992,85023.0
129,US-2017-125969,FUR-CH-10001146,81.424,90004.0
130,US-2017-125969,FUR-FU-10003773,238.56,90004.0
131,US-2018-164147,TEC-PH-10002293,59.97,43229.0
132,US-2018-164147,OFF-PA-10002377,78.304,43229.0
133,US-2018-164147,OFF-FA-10002780,21.456,43229.0
134,CA-2017-145583,OFF-PA-10001804,20.04,95661.0
135,CA-2017-145583,OFF-PA-10001736,35.44,95661.0
136,CA-2017-145583,OFF-AR-10001149,11.52,95661.0
137,CA-2017-145583,OFF-FA-10002988,4.02,95661.0
138,CA-2017-145583,OFF-BI-10004781,76.176,95661.0
139,CA-2017-145583,OFF-SU-10001218,65.88,95661.0
140,CA-2017-145583,FUR-FU-10001706,43.12,95661.0
141,CA-2017-110366,FUR-FU-10004848,82.8,19140.0
142,CA-2018-106180,OFF-AR-10000940,8.82,94122.0
143,CA-2018-106180,OFF-EN-10004030,10.86,94122.0
144,CA-2018-106180,OFF-PA-10004327,143.7,94122.0
145,CA-2018-155376,OFF-AP-10001058,839.43,64055.0
146,CA-2016-110744,OFF-ST-10003656,671.93,91104.0
147,CA-2015-110072,FUR-FU-10000521,93.888,43055.0
148,CA-2017-114489,TEC-PH-10000215,384.45,53132.0
149,CA-2017-114489,TEC-PH-10001448,149.97,53132.0
150,CA-2017-114489,FUR-CH-10000454,1951.84,53132.0
